timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681813397587,215,/actions/Catalog.action-57-1,200,,JpetReg_Dynamic 1-1,text,true,,5966,523,3,3,https://petstore.octoperf.com/css/jpetstore.css,215,0,0
1681813397803,218,/actions/Catalog.action-57-2,200,,JpetReg_Dynamic 1-1,bin,true,,4095,528,3,3,https://petstore.octoperf.com/images/logo-topbar.gif,218,0,0
1681813398022,225,/actions/Catalog.action-57-3,200,,JpetReg_Dynamic 1-1,bin,true,,379,521,3,3,https://petstore.octoperf.com/images/cart.gif,225,0,0
1681813398248,216,/actions/Catalog.action-57-4,200,,JpetReg_Dynamic 1-1,bin,true,,329,526,3,3,https://petstore.octoperf.com/images/separator.gif,216,0,0
1681813398465,225,/actions/Catalog.action-57-5,200,,JpetReg_Dynamic 1-1,bin,true,,556,524,3,3,https://petstore.octoperf.com/images/sm_fish.gif,225,0,0
1681813398690,226,/actions/Catalog.action-57-6,200,,JpetReg_Dynamic 1-1,bin,true,,591,524,3,3,https://petstore.octoperf.com/images/sm_dogs.gif,226,0,0
1681813398917,228,/actions/Catalog.action-57-7,200,,JpetReg_Dynamic 1-1,bin,true,,683,528,3,3,https://petstore.octoperf.com/images/sm_reptiles.gif,228,0,0
1681813399145,234,/actions/Catalog.action-57-8,200,,JpetReg_Dynamic 1-1,bin,true,,574,524,3,3,https://petstore.octoperf.com/images/sm_cats.gif,234,0,0
1681813399379,227,/actions/Catalog.action-57-9,200,,JpetReg_Dynamic 1-1,bin,true,,536,525,3,3,https://petstore.octoperf.com/images/sm_birds.gif,227,0,0
1681813399607,214,/actions/Catalog.action-57-10,200,,JpetReg_Dynamic 1-1,bin,true,,724,526,3,3,https://petstore.octoperf.com/images/fish_icon.gif,214,0,0
1681813399822,226,/actions/Catalog.action-57-11,200,,JpetReg_Dynamic 1-1,bin,true,,753,526,3,3,https://petstore.octoperf.com/images/dogs_icon.gif,226,0,0
1681813400048,216,/actions/Catalog.action-57-12,200,,JpetReg_Dynamic 1-1,bin,true,,693,526,3,3,https://petstore.octoperf.com/images/cats_icon.gif,216,0,0
1681813400265,227,/actions/Catalog.action-57-13,200,,JpetReg_Dynamic 1-1,bin,true,,954,530,3,3,https://petstore.octoperf.com/images/reptiles_icon.gif,227,0,0
1681813400492,217,/actions/Catalog.action-57-14,200,,JpetReg_Dynamic 1-1,bin,true,,756,527,3,3,https://petstore.octoperf.com/images/birds_icon.gif,217,0,0
